biblionumber;"Full Title";Author;Abstract;"Publications data";Content;Book_Url
285505;"The future of political leadership in the digital age : neo-leadership, image and influence /";;;"London ; New York, New York : Routledge, 2021 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285505
285506;"Security issues in the context of political violence and terrorism of the 21st century / ";;;"Newcastle upon Tyne, England : Cambridge Scholars Publisher, 2021 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285506
285507;"Entrepreneurship in the gulf cooperation council region : evolution and future perspectives /";;;"Hackensack, New Jersey : World Scientific, 2021 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285507
285508;"Rules for wrongdoers : law, morality, war /";"Ripstein, Arthur,";;"New York, New York : Oxford University Press, 2021 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285508
285509;"Financial regulation and liberation : Saudi Arabias path towards true global partnership /";"Ramady, M. A.";;"Cham, Switzerland : Springer, 2021 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285509
285503;"Energy security : policy challenges and solutions for resource efficiency /";;;"Cham, Switzerland : Palgrave Macmillan, 2019 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285503
285504;"Corporate social responsibility, ethics and sustainable prosperity / ";;;"Hackensack, New Jersey : World Scientific, 2019 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285504
285510;"Rhetoric of insecurity : the language of danger, fear and safety in national and international contexts /";"Baines, Victoria,";;"London ; New York, New York : Routledge, 2022 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285510
285511;"The long game : China's grand strategy to displace American order /";"Doshi, Rush,";;"New York, New York : Oxford University Press, 2021 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285511
285512;"Artificial intelligence and emerging technologies in international relations / ";"Ndzendze, Bhaso,";;"Hackensack, New Jersey : World Scientific Publishing, 2021 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285512
285513;"Financial ecosystem and strategy in the digital era : global approaches and new opportunities /";;;"Cham, Switzerland : Springer, 2021 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285513
285514;"The Gulf Cooperation Council at forty : risk and opportunity in a changing world /";"Yousef, Tarik M.,";;"Washington, D.C. : Brookings Insitution Press, 2022 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285514
285515;"Artificial intelligence in the Gulf : challenges and opportunities /";;;"Singapore : Springer, 2021 ";"  ";https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=285515
