biblionumber	kept_shelf	full_title	author	abstract	publications_data	content	subject1	subject2	subject3	other_authors	book_url
292487	1	Climate Change : | A Geoscience Perspective /	St. John, Kristen.	This open access book on climate change assesses past climatic change from a geoscience perspective and directly and effectively addresses common misconceptions on climate and climate change.A geoscience perspective on the multiple causes, rates, and consequences of climate change is essential context to assess modern climate change and our role in it, as well as forecasting future climate conditions. Yet, most textbooks on climate change focus only on the very recent past (e.g., last century), are not sufficiently engaging for non-scientists, or explore paleoclimate science at a level too challenging for introductory students. In addition, a wide range of misconceptions and confusion exists in the general public about climate change. Correcting misconceptions is an essential aspect of education, but educational research has shown that it is challenging to achieve. This textbook includes introductions to each thematic Part, that directly identify relevant misconceptions and refute them with clear, concise messages (i.e., learning goals) that are grounded in science and expanded on in the supporting chapters. Such refutation-style approaches have been shown to be effective at addressing misconceptions.The book offers a clear trajectory of fundamental climate science concepts, which are most beneficially combined to provide a valuable geoscience perspective on the causes, rates, and consequences of climate change. It frames the collection of climate science chapters with impactful, relevant social science context: starting the book with a chapter that explores the reasons behind the disconnect between the scientific and public understanding of climate change, and ending the book with a discussion of the intersection of ethics and climate change. Short topical expansions or excursions are included as "boxes" within selected chapters.This book will serve as a basic resource for learning about the lessons that the paleoclimate record offers to evaluate the seriousness of modern and future climate change.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292487
292486	1	Recycling Institutions : | How Waste Becomes an Urban Mine /	Nogueira, Letícia Antunes.	This open access book investigates the phenomenon of recycling institutions in urban mining using social sciences lenses on the empirical context of waste from electrical and electronic equipment (WEEE), landfills as a potential resource pool and the recycling of building materials in Norway.There is a dual meaning to the term 'recycling institutions', and this book has the ambition to explore both. The first refers to institutions that recycle, i.e., the institutional infrastructure that facilitates material recycling. From household attitudes and practices to the laws and regulations that govern waste management, there is an institutional apparatus that recycling relies upon, which gains increased importance as the sustainability agenda develops. The second meaning refers to the recycling of institutions, in the sense that the institutional setup itself is being repurposed and transformed. This more metaphorical meaning points to the way in which emerging societal ambitions (such as the circular economy) stretch and bend existing institutions by imposing new functions upon them. Institutions are conservative and backward-looking and tend to resist rapid and radical changes that are incompatible with the ideas and practices they are built on. So, whereas the first is about designing new institutions for circularity, the second is about modifying and "recycling" existing institutions to meet the challenges circularity may entail.The central premise is that relevant, supportive and well-functioning institutional environments are crucial in the transition to a greener society that encourages industries, businesses, households and citizens to act in more sustainable ways, and it identify both possibilities and obstacles in the emergence of institutions that support urban mining. This book integrates a range of disciplines in the social sciences to investigate the phenomenon of recycling institutions. By examining the case of urban mining in Norway, with a special focus on how existing structures developed for waste management can be repurposed to facilitate this new function, the book provides insight into a scenario where material sourcing from anthropogenic sources is dissociated from natural resource scarcity and is instead linked to political ambitions and an attempt to stay at the forefront of sustainability transitions.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292486
292485	1	International Law after the Ukraine War : | Principles, Challenges, and Future Directions /	Giblin, Jennifer.	Russia's 2022 invasion of Ukraine was a defining moment for international law and its ability to maintain international peace and security. This book highlights the principles, methods and systems in place to regulate peaceful relations between states, and the implications the war in Ukraine has had on their relevance in the changing geopolitical world.Bringing together leading experts on international law, including key Ukrainian voices, the book explores the strengths and weaknesses in international law which have been exposed by Russia's invasion. The UN has stated that the war has catastrophic effects for international security and human rights. The book explores these statements, drawing on varied aspects of international law to determine lessons to be learned from the Ukraine conflict. It also explores how international law has had to adapt to tackle the challenges which have arisen. The book asks, has the conflict challenged the theory and fundamental values of international law? Have there been any new legal developments, prompted by the war, which could be applied to future conflicts? Through these timely questions, the book re-evaluates the changing landscape of international law.The book will be of interest to students and scholars in the fields of international law, the use of force, humanitarian law, criminal law, refugee law and human rights law.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292485
292484	1	Environmental, Social, and Governance Ratings : | Risks, Regulations, and Market Dynamics /	Chodnicka-Jaworska, Patrycja.	In recent years, the world of finance and investments has changed, considering measures related to environmental, social, and governance (ESG) factors for socially responsible investments. ESG scoring and ratings are used to estimate ESG risk.This book presents ESG ratings and scorings and their providers and lists problems with data quality, data sources, and unknown methodology, contributing to the green- and social-washing ESG rating phenomenon. The value of assets invested in green instruments relies on high-quality ESG ratings to measure green transition. Data greenwashing negatively impacts the financial market, especially the stock price, fund activities, and bond markets. The size of the rated company, geographical location, and industry biases are considered in understanding the greenwashing phenomenon. This book illustrates all the problems related to ESG rating inflation, conflicts of interest, models of payment, and internal and external ratings. It describes current regulations, initiatives, and practical knowledge of ESG scoring.Academics and students of financial law, economics, and financial sustainability will find this book invaluable. The practical implications in the book will benefit sustainability-concerned regulators and practitioners who estimate ESG risk (especially in financial institutions).							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292484
292483	1	Publishing Beyond the Market : | Open Access, Care, and the Commons /	Moore, Samuel A.	Publishing Beyond the Market argues that the move to open access should focus less on the free accessibility of research outputs and more on who controls the publications and infrastructures for scholarly communication. By deploying theoretical literature on science and technology studies, care ethics, and the commons, the book critically interrogates open access and reimagines a more ethical future for researcher-led publishing. A case study of Plan S--the multifunder European policy for open access publishing--explores its tendency to rehearse all the failures of commercialisation. Through critical engagement with the open access landscape, the book reveals the shortcomings of market-centric and policy-based approaches to open access book and journal publishing, particularly their tendency to reinforce conservatism, commercialism, and private control of publishing. Going forward, Publishing Beyond the Market explores the importance of collectivity and democratic governance within the transition to open access publishing. It suggests that developing a commons-based, scholar-led publishing landscape through a series of presses that are each managed by working academics could offer a productive counterpoint to marketised systems of open access and subscription publishing. In weaving themselves together in order to "scale small" these publishing initiatives would act as a counter-hegemonic project based on mutual reliance and care. By illustrating how these projects build toward a commons-based publishing future, and how they may complement other approaches to publishing within university presses and libraries, the book culminates in an argument for the infrastructures, policies, and forms of governance needed to nurture such a collective vision.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292483
292482	1	The Politics of Beginning : | The Origin of Private Authority in the Process of Translation /	Esguerra, Alejandro.	The Politics of Beginning traces the formation of the Forest Stewardship Council (FSC), now the most authoritative private organization for forestry certification. It starts with recounting the highly politicized forest politics of the late 1980s, when activists protested human rights abuses and deforestation while experimenting with sustainable forestry practices. The book then follows the people who became the founding members of the Forest Stewardship Council. By using live audio recordings of the FSC founding assembly in 1993, this book provides an in-depth analysis of a constitutional moment for private authority in world politics. To explore how timber merchants, Indigenous communities, and social and environmental NGOs engaged in private institution-making, Alejandro Esguerra works with the concept of translation developed in Actor-Network Theory--a process in which knowledge about governance is continuously recontextualized--and introduces it to International Relations theory. He develops a dramaturgical methodology with metaphors of theatre such as stage, script, and performance. This methodology can be used to analyze the ways in which activists and others translate knowledge about governance and the practices of inclusion and exclusion that appear during this process. The environmental crisis requires a transformation in the ways societies value and govern human-nature relations, and The Politics of Beginning reveals the conditions under which even formerly antagonistic actors start developing a common political project.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292482
292481	1	Digital Warfare : | Media and Technologies in the Russo-Ukrainian War /	Zasanska, Nadia.	Digital media and technologies remain unpredictable when we approach them as actors in armed conflicts. Artificial intelligence, drones, information leaks, hacking, propaganda and fakes become part of war reality. The contributors to this volume prompt us to focus on the virtual fronts of the Russo-Ukrainian War, examining the agency of an individual, community and society in the digitalized war reality. This collection illustrates how digital spaces empower society to stay resilient, resist Russias aggression and defend democratic values in times of adversity and severe trials.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292481
292480	1	Revolution and Restoration : | The Politics of Anachronism /	Tomba, Massimiliano.	At a time when terms like restoration, religion, authority, obligations, and natural law--once the rallying cries of the most emancipatory movements--are increasingly coopted by conservative forces, Revolution and Restoration offers a thought-provoking account of how "outdated" concepts can ignite radical energy and collective action. Through both historical and contemporary examples, the book elaborates the concrete possibilities for reimagining politics and society that emerge out of the clash between incompatible legal and economic structures. At its core, Tomba's book confronts the very foundations of the modern state and its three pillars: property, democracy, and citizenship. These pillars, long celebrated in the Western canon, are nevertheless mechanisms of exclusion: property is the denial of communal access, representative democracy the marginalization of the demos from decision-making, and citizenship the exclusion of the foreigner. Revolution and Restoration critiques these pillars to show how new concepts and political possibilities that emerge from political and social conflicts hold the potential to transcend and remake democracies in crisis. Revolution and Restoration: The Politics of Anachronism is available from the Knowledge Unlatched on an open-access basis.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292480
292479	1	Introduction to International Studies /	Berger, Maurits.	International Studies aims to understand the global complexities of the world in which we live today. Central in these complexities is the position of the human individual, who is both an actor and reactor in global events. This textbook introduces three I's - interests, identities, ideas - that provide a framework to understand human behaviour in today's world. The role of people is further elaborated in the three spatial dimensions of the local, regional, and global level. This gives International Studies the character of a 3-D chessboard with human players. Unique in this textbook is the framework of global scopes used for analysis of the global complexities: global structures (such as economics, belief systems, states, intergovernmental organizations), global trends (such as nationalism, power changes, secularization, identity), and global challenges (such as sustainable development, climate change, pandemics, unwanted migration). This textbook approaches International Studies as a field of study that enables students to navigate the framework of the three I's, the three spatial dimensions and the three global scopes. The International Studies student will acquire a broad overview of the various fields and disciplines and, as a consequence, the ability to move across traditional academic boundaries.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292479
292478	1	Actions for Gender Balance in Informatics Across Europe : | Strategies, Collaborations, and Impact /	Penzenstadler, Birgit.	This open access book presents a comprehensive overview of initiatives and strategies aimed at improving gender balance in informatics across Europe. It documents collaborative efforts, policy recommendations, and institutional practices that support diversity and inclusion in computer science education, research, and professional environments. The volume includes case studies, empirical research, and practical tools for stakeholders in academia, industry, and policy-making.							https://library.ecssr.ae/cgi-bin/koha/opac-detail.pl?biblionumber=292478
